,DBA,borough,ZIPCODE,CUISINE DESCRIPTION,INSPECTION DATE,VIOLATION CODE,CRITICAL FLAG,score,GRADE DATE,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA,Bayes Classification
3803,FIG AND OLIVE,wealthier,10014,Mediterranean,4/22/19,10F,N,1,4/22/19,40.74061458,-74.00674099,102,3,7900,1080266,1006450029,MN23,1
3804,"DUNKIN', BASKIN ROBBINS",less wealthy,10471,American,11/22/19,04H,Y,1,11/22/19,40.90688982,-73.90436531,208,11,32300,2098116,2059530015,BX22,1
3805,BG BAR/MEHANATA,wealthier,10002,Eastern European,11/1/19,06E,Y,1,11/1/19,40.71941915,-73.98870127,103,1,1800,1005318,1004100024,MN27,1
3806,TIO PIO WEST,wealthier,10018,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",11/12/19,04L,Y,1,11/12/19,40.75054992,-73.98562453,105,4,8400,1015911,1008370071,MN17,1
3807,GRILL 149 PLUS,less wealthy,10455,Delicatessen,8/14/19,06F,Y,1,8/14/19,40.81647332,-73.91922149999999,201,17,6500,2000855,2023280001,BX34,1
3808,METROPOLITAN CLUB,wealthier,10022,Continental,1/23/19,04N,Y,1,1/23/19,40.76479552,-73.97230783,108,4,11401,1081206,1013750001,MN40,1
3809,SHANGHAI RESTAURANT,less wealthy,11435,Chinese,12/16/19,06F,Y,0,12/16/19,40.69820648,-73.80632740000001,412,28,20800,4214516,4100270026,QN61,0
3810,FLAVORS,wealthier,10004,American,10/2/19,06C,Y,1,10/2/19,40.70351027,-74.01308492,101,1,900,1000024,1000100015,MN25,1
3811,CAFE K-2,less wealthy,11372,Pakistani,12/4/19,04M,Y,1,12/4/19,40.74716525,-73.89215878,403,25,28900,4029808,4012840065,QN28,1
3812,INTERNATIONAL COFFEE SHOP,less wealthy,11208,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",4/10/19,10I,N,1,4/10/19,40.66186879999999,-73.87347147,305,42,107800,3099000,3045420001,BK82,1
3813,BOQUERIA,wealthier,10011,Spanish,11/27/19,10F,N,1,11/27/19,40.73979389,-73.99304619,105,3,5400,1015462,1008210011,MN13,1
3814,ALACHI MASALA INDIAN RESTAURANT,wealthier,10024,Indian,12/27/19,10F,N,1,12/27/19,40.78604903,-73.97621705,107,6,17100,1032782,1012310033,MN12,1
3815,PANERA BREAD,less wealthy,10475,Sandwiches,9/26/19,10F,N,1,9/26/19,40.86777303,-73.83124571,210,12,46201,2102454,2051410035,BX13,1
3816,9TH STREET LUNCHEONETTE,less wealthy,11231,American,11/8/19,08A,N,1,11/8/19,40.67456186,-73.99742958,306,39,7700,3330276,3004770048,BK33,1
3817,MALIBU DINER,wealthier,10011,American,9/5/19,02G,Y,1,9/5/19,40.74361742,-73.99448571,104,3,9100,1014945,1007990009,MN13,1
3818,TARA ROSE,wealthier,10016,American,12/16/19,10F,N,1,12/16/19,40.74168093,-73.98107585,106,2,6800,1018181,1008830048,MN21,1
3819,JUST SALAD,wealthier,10018,Salads,11/7/19,10F,N,1,11/7/19,40.75236997,-73.98802793,105,3,10900,1015247,1008120063,MN17,1
3820,AUNTIE ANNE'S PRETZELS,less wealthy,11369,Bagels/Pretzels,10/11/18,10B,N,1,10/11/18,40.77441403,-73.87729335,480,21,33100,4000000,4009260001,QN98,1
3821,AUNTIE ANNE'S PRETZELS  Terminal B Concourse D,less wealthy,11369,Bagels/Pretzels,10/11/18,10B,N,1,10/11/18,40.77441403,-73.87729335,480,21,33100,4000000,4009260001,QN98,1
3822,JR & SON,less wealthy,11211,American,10/26/18,06D,Y,1,10/26/18,40.71420995,-73.94940859,301,34,50100,3068654,3027560029,BK90,1
3823,LA LANTERNA DI VITTORIO,wealthier,10012,Italian,5/22/19,08A,N,1,5/22/19,40.73062658,-73.99996392,102,1,6500,1008762,1005430058,MN23,1
3824,Da Gennaro,wealthier,10013,Italian,4/30/19,06C,Y,1,4/30/19,40.71832452,-73.99783553,102,1,4100,1003083,1002360031,MN24,1
3825,SOLO PIZZA,wealthier,10009,Pizza,11/13/19,06A,Y,1,11/13/19,40.72235811,-73.98317742,103,2,2202,1004589,1003850005,MN28,1
3826,NIZZA,wealthier,10036,Italian,9/26/19,04L,Y,1,9/26/19,40.75997875,-73.99148828,104,3,12100,1024982,1010350001,MN15,1
3827,FAVELA,less wealthy,11103,Brazilian,7/18/19,10B,N,1,7/18/19,40.76761608,-73.91827737,401,22,6501,4009145,4006270024,QN70,1
3828,STARBUCKS,wealthier,10023,Café/Coffee/Tea,3/6/19,06C,Y,1,3/6/19,40.77094299,-73.98215782,107,3,14900,1027465,1011150057,MN14,1
3829,STATEN ISLAND DINER,wealthier,10314,American,1/17/19,02G,Y,1,1/17/19,40.61281144,-74.12636676,501,50,15100,5010509,5003730020,SI07,1
3830,SUBWAY,less wealthy,10460,Sandwiches,7/22/19,06D,Y,1,7/22/19,40.83672863,-73.88582966,203,17,16100,2114085,2029980002,BX75,1
3831,JIMBOS HAMBURGER,wealthier,10034,Hamburgers,12/5/19,10F,N,1,12/5/19,40.86426732,-73.91906199,112,10,29900,1064511,1022030007,MN01,1
3832,BLUE RIBBON BAR,wealthier,10014,American,4/23/19,06E,Y,1,4/23/19,40.72925688,-74.00389308,102,3,6700,1008394,1005280037,MN23,1
3833,LA SALLE BAKERY,less wealthy,10461,Bakery,4/11/19,10F,N,1,4/11/19,40.83791542,-73.83477669,210,13,18400,2073699,2053560006,BX52,1
3834,DUNKIN',less wealthy,11218,Donuts,8/20/19,10B,N,1,8/20/19,40.63554305,-73.96772827,312,40,48200,3127353,3054030032,BK42,1
3835,DUNKIN',less wealthy,11229,Donuts,5/30/19,10F,N,1,5/30/19,40.60848213,-73.95888532,315,48,55400,3182975,3067970108,BK25,1
3836,TROYKA/DA MIKELLE PALACE/MIKELLE CORNER/SUSHI & STEAK HOUSE,less wealthy,11375,Jewish/Kosher,8/6/19,04N,Y,1,8/6/19,40.72537758,-73.85076894,406,29,71303,4051275,4021370001,QN17,1
3837,PIZZA & PITA,wealthier,10016,Pizza,7/30/19,02G,Y,1,7/30/19,40.74419661,-73.97452505,106,2,7000,1081681,1009390037,MN20,1
3838,DUNKIN',less wealthy,11209,Donuts,3/20/19,10F,N,1,3/20/19,40.61739776,-74.03054478,310,43,5800,3000000,3061080007,BK31,1
3839,"DUNKIN', BASKIN ROBBINS",less wealthy,11210,Donuts,5/16/19,06C,Y,1,5/16/19,40.62278902,-73.93706472,318,45,73800,3000000,3078150032,BK58,1
3840,DUNKIN',less wealthy,11234,Donuts,7/18/19,10F,N,1,7/18/19,40.6174439,-73.91074289,318,46,70201,3243428,3086310001,BK45,1
3841,DUNKIN',less wealthy,11209,Donuts,5/6/19,10F,N,1,5/6/19,40.63385368,-74.02680175,310,43,6800,3146519,3058910007,BK31,1
3842,DUNKIN',less wealthy,11210,Donuts,7/23/19,10F,N,1,7/23/19,40.63238441,-73.94717588,314,45,78600,3205908,3075580031,BK42,1
3843,DUNKIN',less wealthy,11209,Donuts,11/20/19,10F,N,1,11/20/19,40.62925705,-74.02271813,310,43,13400,3148819,3059420003,BK31,1
3844,DUNKIN',less wealthy,11214,Donuts,4/29/19,10F,N,1,4/29/19,40.60767429,-74.00210325,311,47,27800,3165755,3063440003,BK28,1
3845,CAFE AMRITA,wealthier,10026,American,3/27/19,10B,N,1,3/27/19,40.80074493,-73.95865053,110,9,19702,1076524,1018467501,MN11,1
3846,INTERNATIONAL BAKE SHOP,less wealthy,11385,Bakery,10/3/19,08A,N,1,10/3/19,40.70262822,-73.90737884,405,34,54900,4082633,4034580001,QN20,1
3847,FOOD IN MOTION,wealthier,10012,American,5/7/19,06A,Y,1,5/7/19,40.72924048,-74.00006494,102,1,6500,1008707,1005400030,MN23,1
3848,DUNKIN',less wealthy,11375,Donuts,10/10/19,10F,N,1,10/10/19,40.72689901,-73.85354362,406,29,71303,4050969,4021190011,QN17,1
3849,BOBBY VAN'S GRILL,wealthier,10020,Steak,12/18/19,10F,N,1,12/18/19,40.76036734,-73.98153257,105,4,13100,1022708,1010030005,MN17,1
3850,CLASSIC QUIZINE,less wealthy,11691,Caribbean,10/31/19,02G,Y,1,10/31/19,40.60197688,-73.75344016,414,31,100802,4300872,4157500037,QN15,1
3851,NEPTUNE PIZZA,less wealthy,11235,Pizza,1/14/20,02G,Y,1,1/14/20,40.58188277,-73.95992417,313,48,61003,3245161,3087010001,BK19,1
3852,TRE,wealthier,10002,Italian,11/6/19,06C,Y,1,11/6/19,40.72177952,-73.98750313,103,1,3001,1005403,1004120029,MN27,1
3853,DUNKIN' DONUTS,less wealthy,11239,Donuts,5/22/19,10F,N,1,5/22/19,40.6480497,-73.88200237,305,42,105804,3345673,3044520015,BK93,1
3854,J & JOE DELI & GROCERY,less wealthy,11432,Delicatessen,3/5/19,08C,N,1,3/5/19,40.71823336,-73.80367883,408,24,126700,4152343,4070380008,QN38,1
3855,PAPA JOHN'S,less wealthy,11236,Pizza,2/11/19,09C,N,1,2/11/19,40.63522521,-73.91892292,318,46,95000,3223376,3079800014,BK50,1
3856,COLD STONE CREAMERY,less wealthy,11385,"Ice Cream, Gelato, Yogurt, Ices",11/21/19,10F,N,1,11/21/19,40.70975969,-73.86860455,405,30,63700,4530758,4038100350,QN19,1
3857,CILANTRO,wealthier,10024,Mexican,6/5/19,02G,Y,0,6/5/19,40.78476936,-73.97341170000001,107,6,16900,1031215,1011970003,MN12,0
3858,TUSCANY CAFE,less wealthy,11430,Café/Coffee/Tea,10/16/19,10F,N,1,10/16/19,40.64831283,-73.7882815,483,28,71600,4000000,4142600001,QN98,1
3859,NEW WIN HING III CHINESE RESTAURANT,wealthier,10301,Chinese,2/20/19,06D,Y,1,2/20/19,40.61568122,-74.10296714,501,49,16901,5104553,5006520013,SI07,1
3860,STARBUCKS,wealthier,10028,Café/Coffee/Tea,10/23/19,10F,N,1,10/23/19,40.77870914,-73.95614397,108,5,14801,1047689,1015137502,MN40,1
3861,ROPES & GRAY CAFE,wealthier,10036,American,6/6/19,10F,N,1,6/6/19,40.75838562,-73.98153673,105,4,12500,1022678,1010000029,MN17,1
3862,URO CAFE,less wealthy,11222,Café/Coffee/Tea,4/1/19,04O,Y,1,4/1/19,40.72256474,-73.94876727,301,33,49900,3067531,3026980017,BK76,1
3863,BEST WESTERN GREGORY HOTEL,less wealthy,11209,American,9/9/19,10B,N,1,9/9/19,40.6248369,-74.02750058,310,43,13800,3152463,3060180001,BK31,1
3864,PIZZA CLASSICA,less wealthy,11385,Pizza,11/21/19,02G,Y,0,11/21/19,40.70664188,-73.85514284,406,30,64500,4095040,4038860380,QN17,0
3865,LINCOLN TOWERS CAFE,less wealthy,10451,American,3/20/19,10B,N,1,3/20/19,40.81773378,-73.92415514,201,17,6500,2097050,2023350016,BX34,1
3866,TOWER'S CAFE,wealthier,10037,American,12/9/19,10B,N,1,12/9/19,40.81435099,-73.94065812,110,9,21200,1053899,1017330001,MN03,1
3867,COFFEE SHOP,less wealthy,10467,American,11/4/19,10J,N,1,11/4/19,40.88045622,-73.88163894,207,11,42100,2017787,2033270200,BX43,1
3868,NEW MALAYSIA RESTAURANT,less wealthy,11354,Asian,10/7/19,06C,Y,1,10/7/19,40.75886248,-73.83012937,407,20,87100,4114129,4050360049,QN22,1
3869,STARBUCKS,less wealthy,11201,Café/Coffee/Tea,5/7/19,10F,N,1,5/7/19,40.68617741,-73.99084511,302,33,6900,3005750,3003840049,BK38,1
3870,STARBUCKS,wealthier,10014,Café/Coffee/Tea,9/10/19,04O,Y,1,9/10/19,40.73363193,-74.00630007,102,3,7300,1082683,1006190009,MN23,1
3871,STARBUCKS,wealthier,10013,Café/Coffee/Tea,4/22/19,06D,Y,1,4/22/19,40.71882681,-74.00237733,101,1,3300,1002309,1001947505,MN24,1
3872,MAOZ VEGETARIAN,wealthier,10003,Vegetarian,3/8/19,10F,N,1,3/8/19,40.73609915,-73.98935155,105,2,5000,1017819,1008720001,MN21,1
3873,BODRUM,wealthier,10024,Mediterranean,2/4/19,08A,N,1,2/4/19,40.78915286,-73.97395164,107,6,17500,1033295,1012360032,MN12,1
3874,WILLIE'S STEAK HOUSE,less wealthy,10472,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",4/2/19,10F,N,1,4/2/19,40.83227592,-73.86490340000002,209,18,7000,2024783,2037650041,BX55,1
3875,CAFE 2000 CORONA,less wealthy,11368,Spanish,10/30/19,04N,Y,1,10/30/19,40.74895031,-73.86931735,404,21,46500,4039789,4015940032,QN29,1
3876,LAGUARDIA PLAZA HOTEL/PAVILLION GRILL,less wealthy,11369,American,5/22/19,04N,Y,1,5/22/19,40.7677076,-73.86656919,403,21,35700,4312893,4016400025,QN27,1
3877,DUBOIS PASTRY,less wealthy,11373,Bakery,4/2/19,06C,Y,1,4/2/19,40.73983395,-73.87840018,404,25,48500,4038725,4015460020,QN50,1
3878,SLATTERY'S MIDTOWN PUB,wealthier,10016,American,2/7/19,04N,Y,1,2/7/19,40.74945166,-73.98301536,105,4,8200,1017131,1008650067,MN20,1
3879,CHOLULA DELI GROCERY,less wealthy,11237,Mexican,4/1/19,06F,Y,1,4/1/19,40.70112099,-73.91398088,304,37,44100,3338489,3033190030,BK77,1
3880,PRET A MANGER,wealthier,10017,Sandwiches,4/15/19,06E,Y,1,4/15/19,40.75102872,-73.97635953,105,4,8000,1036152,1012960014,MN20,1
3881,HILL COUNTRY,wealthier,10010,Barbecue,4/4/19,06C,Y,1,4/4/19,40.74409468,-73.98976168,105,3,5800,1015629,1008270064,MN13,1
3882,HAMPTON INN,wealthier,10019,American,1/31/19,06C,Y,1,1/31/19,40.76305229,-73.98555684,104,3,13300,1025211,1010427501,MN15,1
3883,ENOTECA MARIA,wealthier,10301,Italian,7/25/19,02G,Y,1,7/25/19,40.64188122,-74.07723687,501,49,300,5110428,5000080099,SI22,1
3884,PANERA BREAD,wealthier,10314,Sandwiches,3/27/19,06A,Y,1,3/27/19,40.57714172,-74.16406456,502,51,27702,5039659,5024000300,SI24,1
3885,CHRISTOPHER'S PALACE,less wealthy,11221,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",2/15/19,04H,Y,1,2/15/19,40.69788843,-73.92697873,304,34,42300,3073397,3032270030,BK78,1
3886,234 CHINA CITY,less wealthy,11223,Chinese,2/4/19,10F,N,1,2/4/19,40.60538379,-73.98224905,311,47,42800,3176591,3066470017,BK29,1
3887,ALCHEMY,less wealthy,11217,American,4/6/19,10D,N,1,4/6/19,40.68128981,-73.97716312,306,39,12901,3018543,3009320042,BK37,1
3888,PERI ELA,wealthier,10128,Mediterranean,10/31/18,10F,N,1,10/31/18,40.78221867,-73.9535815,108,5,14802,1048254,1015190020,MN40,1
3889,MCDONALD'S,less wealthy,10453,American,3/27/19,10F,N,1,3/27/19,40.85011601,-73.91596708,205,14,21501,2009018,2028780206,BX36,1
3890,MCDONALD'S,wealthier,10035,Hamburgers,12/24/19,10F,N,1,12/24/19,40.79852148,-73.93960679999999,111,8,18200,1052307,1016440040,MN34,1
3891,MCDONALD'S,wealthier,10031,Hamburgers,3/27/19,06D,Y,1,3/27/19,40.82237975,-73.95339079,109,7,22500,1061709,1020700001,MN04,1
3892,MCDONALD'S,wealthier,10031,Hamburgers,12/19/19,10F,N,1,12/19/19,40.82669866,-73.95025859,109,7,22900,1062380,1020920026,MN04,1
3893,THAI MARKET,wealthier,10025,Thai,12/12/18,06B,Y,1,12/12/18,40.80120272,-73.96515539,107,7,19500,1056657,1018790029,MN09,1
3894,NICK'S LOBSTERS,less wealthy,11234,Seafood,10/17/19,10F,N,1,10/17/19,40.60313875,-73.91524199,318,46,70202,3326930,3085910980,BK99,1
3895,GABBY O'HARAS,wealthier,10018,Irish,7/30/19,08A,N,0,7/30/19,40.75340459,-73.98660205,105,4,11300,1080611,1008150014,MN17,0
3896,KOITO JAPANESE RESTAURANT,wealthier,10128,Japanese,10/25/19,10I,N,0,10/25/19,40.78204881,-73.94790525,108,5,15400,1050270,1015550045,MN32,0
3897,HIBINO,less wealthy,11201,Japanese,1/15/19,10I,N,1,1/15/19,40.69024823,-73.99646258,306,39,4500,3002939,3002850001,BK33,1
3898,COLGATE PALMOLIVE,wealthier,10022,American,8/7/19,06D,Y,1,8/7/19,40.75679501,-73.97427116,105,4,10200,1081146,1012850036,MN17,1
3899,BEACH BAR,less wealthy,11229,American,9/17/19,06D,Y,1,9/17/19,40.59276481,-73.92507057,315,46,62800,3249798,3089250180,BK17,1
3900,MICHAEL & SONS ITALIAN FOOD & PIZZA,less wealthy,11358,Pizza,12/12/19,10F,N,1,12/12/19,40.75200021,-73.78860758,411,19,142900,4125330,4055480059,QN48,1
3901,CROSS BRONX PIZZERIA,less wealthy,10472,Pizza,12/23/19,04L,Y,1,12/23/19,40.82988946,-73.85056977,209,18,7800,2026433,2038090044,BX59,1
3902,"DUNKIN', BASKIN ROBBINS",wealthier,10018,American,9/9/19,06E,Y,1,9/9/19,40.75525757,-73.98913191,105,3,11300,1014508,1007890062,MN17,1
3903,KLIMAT,wealthier,10003,Polish,3/5/19,08A,N,1,3/5/19,40.72732384,-73.98656763,103,2,3800,1006346,1004490043,MN22,1
3904,SIMPLE CAFE,less wealthy,11249,Café/Coffee/Tea,8/30/19,08A,N,1,8/30/19,40.71242817,-73.96261927,301,34,55100,3063248,3024300019,BK73,1
3905,EMPIRE CORNER II,wealthier,10029,Chinese,12/10/19,04L,Y,1,12/10/19,40.80048743,-73.94657241,111,9,18400,1051660,1016210069,MN34,1
3906,CAFE COLETTE,less wealthy,11249,American,9/27/19,06D,Y,1,9/27/19,40.71985929,-73.95766915,301,33,51700,3061662,3023040001,BK73,1
3907,MONAHAN & FITZGERALD,less wealthy,11361,Irish,9/9/19,06D,Y,0,9/9/19,40.7636665,-73.77056768,411,19,112300,4138285,4062880039,QN46,0
3908,ANIL'S ROTI SHOP,less wealthy,11419,Caribbean,8/1/19,09A,N,1,8/1/19,40.68815695,-73.81922229,410,28,15802,4203928,4095620031,QN55,1
3909,SINGH'S ROTI SHOP & BAR,less wealthy,11419,Caribbean,4/29/19,10F,N,1,4/29/19,40.69017521,-73.81459759,410,28,15801,4441705,4095910006,QN55,1
3910,THE STONEWALL INN,wealthier,10014,"Bottled beverages, including water, sodas, juices, etc.",3/27/19,04L,Y,1,3/27/19,40.73371991,-74.00212528,102,3,7300,1082221,1006100001,MN23,1
3911,LA UNION RESTAURANT,less wealthy,11373,Peruvian,10/23/19,04M,Y,1,10/23/19,40.74247148,-73.87314819,404,25,46100,4045616,4018480005,QN29,1
3912,SCHNITZI SCHNITZEL BAR,less wealthy,11230,Jewish/Kosher,5/9/19,06C,Y,1,5/9/19,40.62593563,-73.96538414,314,44,53000,3179491,3067040068,BK43,1
3913,RALPHS'S COFFEE SHOP & DINER,less wealthy,11691,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",11/19/19,06C,Y,0,11/19/19,40.60489917,-73.75428644,414,31,100802,4300205,4157090109,QN15,0
3914,MCKINSEY & COMPANY CAFETERIA,wealthier,10055,American,2/7/19,06C,Y,1,2/7/19,40.75882057,-73.97397799,105,4,10200,1083869,1012880027,MN17,1
3915,PETIT CREVETTE,less wealthy,11231,French,4/8/19,04L,Y,1,4/8/19,40.68407801,-74.00195784,306,39,5100,3004455,3003420023,BK33,1
3916,EL VIEJO YAYO REST II,less wealthy,11215,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",10/28/19,02H,Y,1,10/28/19,40.66890402,-73.98574673,306,39,13700,3022143,3010050074,BK37,1
3917,FU SING RESTAURANT,less wealthy,11236,Chinese,4/25/19,10F,N,1,4/25/19,40.63905723,-73.91935063,318,45,94401,3222404,3079550017,BK58,1
3918,GOTHAM PIZZA,wealthier,10075,Pizza,11/18/19,06C,Y,1,11/18/19,40.76980882,-73.95159732,108,5,13200,1045961,1014710026,MN31,1
3919,AURORA SOHO,wealthier,10013,Italian,12/17/19,06C,Y,1,12/17/19,40.72351210000001,-74.00333355,102,1,4700,1007339,1004880037,MN24,1
3920,FETTE SAU,less wealthy,11211,Barbecue,3/22/19,06F,Y,1,3/22/19,40.71419638,-73.95646795,301,34,51900,3062491,3023680022,BK73,1
3921,WICHCRAFT,wealthier,10003,Sandwiches,7/25/19,10F,N,1,7/25/19,40.73931059,-73.99007636,105,2,5200,1016200,1008490009,MN13,1
3922,EVIL OLIVE PIZZA BAR,less wealthy,11211,Pizza,12/12/19,10F,N,1,12/12/19,40.70629993,-73.95034156,301,34,51100,3325853,3030580100,BK90,1
3923,FLEX MUSSELS,wealthier,10028,American,10/25/19,09C,N,1,10/25/19,40.77651899,-73.95657869,108,5,14000,1047573,1015100041,MN40,1
3924,KENNEDY FRIED CHICKEN,less wealthy,10456,Chicken,9/5/19,10F,N,1,9/5/19,40.83828922,-73.91266805,204,16,17902,2007969,2028300035,BX14,1
3925,ED'S LOBSTER BAR,wealthier,10012,Seafood,2/28/19,02G,Y,1,2/28/19,40.72200524,-73.99738806,102,1,4500,1007218,1004820025,MN24,1
3926,LA BELLA MARIELLA,less wealthy,11378,Pizza,7/17/19,02G,Y,1,7/17/19,40.71525461,-73.90132263,405,30,60100,4061725,4027620010,QN30,1
3927,LOCAL SHOP,wealthier,10012,American,11/16/18,10F,N,1,11/16/18,40.72702269,-74.00191942,102,3,4900,1008075,1005180036,MN24,1
3928,ORIGINAL MIKE'S PIZZA,less wealthy,11208,Pizza,4/23/19,06C,Y,1,4/23/19,40.6835734,-73.87246383,305,37,117602,3092261,3041300063,BK83,1
3929,"DUNKIN', BASKIN ROBBINS",less wealthy,10451,Donuts,3/25/19,06E,Y,1,3/25/19,40.81731825,-73.92254429,201,17,6500,2000885,2023300007,BX34,1
3930,P.J. CLARKE'S,wealthier,10023,American,2/27/19,06D,Y,1,2/27/19,40.77148649,-73.98241401,107,3,14900,1027465,1011150057,MN14,1
3931,DESTEFANO'S STEAKHOUSE,less wealthy,11211,Steak,2/23/19,10F,N,1,2/23/19,40.71495016,-73.94745649,301,34,50100,3322871,3027530001,BK90,1
3932,Luigi's Pizza,less wealthy,11220,Pizza,5/31/19,06D,Y,1,5/31/19,40.64668559,-74.00868099,307,38,8000,3337227,3007650036,BK32,1
3933,CAFE TRISKELL,less wealthy,11106,French,5/16/19,04L,Y,1,5/16/19,40.75575426,-73.92801595,401,26,5500,4007959,4006020033,QN68,1
3934,CHENNAI GARDEN,wealthier,10016,Indian,9/3/19,06E,Y,0,9/3/19,40.74277636,-73.98276084,105,2,7200,1018206,1008840016,MN20,0
3935,THE THIRD PALM TREE,wealthier,10032,American,5/29/19,10B,N,1,5/29/19,40.83880505,-73.93767635,112,10,24900,1062661,1021110083,MN36,1
3936,DELICIAS MANABITAS RESTAURANT,less wealthy,11101,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",8/8/19,02B,Y,0,8/8/19,40.75431919,-73.92037277,401,26,15900,4011000,4006750156,QN70,0
3937,MY PLACE FAMILY PIZZA,less wealthy,10458,Pizza,11/25/19,02B,Y,1,11/25/19,40.86930679,-73.88955913,207,15,40501,2017054,2033010054,BX05,1
3938,AU BON PAIN (Jacobi Medical Center),less wealthy,10461,Sandwiches/Salads/Mixed Buffet,4/2/19,10F,N,1,4/2/19,40.85742009,-73.84707701,211,13,29600,2097550,2042050001,BX49,1
3939,AU BON PAIN,less wealthy,11369,Sandwiches/Salads/Mixed Buffet,9/20/18,06F,Y,1,9/20/18,40.77441403,-73.87729335,480,21,33100,4000000,4009260001,QN98,1
3940,AU BON PAIN,less wealthy,11369,Sandwiches/Salads/Mixed Buffet,5/30/19,06F,Y,1,5/30/19,40.77441403,-73.87729335,480,21,33100,4000000,4009260001,QN98,1
3941,AU BON PAIN,less wealthy,11369,Sandwiches/Salads/Mixed Buffet,11/14/19,10F,N,1,11/14/19,40.77441403,-73.87729335,480,21,33100,4000000,4009260001,QN98,1
3942,AU BON PAIN,less wealthy,11369,Sandwiches/Salads/Mixed Buffet,5/16/19,08A,N,1,5/16/19,40.77441403,-73.87729335,480,21,33100,4000000,4009260001,QN98,1
3943,CARIDAD RESTAURANT,less wealthy,11368,Spanish,12/9/19,06C,Y,1,12/9/19,40.75733716,-73.86831181,403,21,37700,4042507,4017150001,QN26,0
3944,SUBWAY,wealthier,10065,Sandwiches,2/8/19,02G,Y,1,2/8/19,40.76226228,-73.9631435,108,4,11000,1078355,1014160026,MN31,1
3945,ROUTE 66 CAFE,wealthier,10019,American,12/12/19,04M,Y,1,12/12/19,40.76704875,-73.98632493,104,3,13900,1025446,1010460063,MN15,1
3946,SUBWAY,wealthier,10314,Sandwiches,3/27/19,10F,N,1,3/27/19,40.58229742,-74.16905259,502,51,27702,5039658,5024000180,SI24,1
3947,BENIHANA,wealthier,10019,Japanese,8/21/19,04N,Y,1,8/21/19,40.7629409,-73.97599791,105,4,11201,1035057,1012720063,MN17,1
3948,NEW YORK TIMES CAFE,wealthier,10018,American,10/11/19,02G,Y,1,10/11/19,40.75603172,-73.99065138,105,3,11300,1087186,1010127501,MN17,1
3949,CAFE CHILI,less wealthy,11201,Thai,8/12/19,08C,N,1,8/12/19,40.68800834,-73.99318502,306,39,4500,3335986,3002970029,BK33,1
3950,KENNEDY FRIED CHICKEN,less wealthy,10462,Chicken,8/5/19,09C,N,1,8/5/19,40.85449739,-73.8673162,211,13,22403,2049391,2043180001,BX49,1
3951,"NYSC, MIX STIRS",less wealthy,11385,"Juice, Smoothies, Fruit Salads",7/17/19,06B,Y,1,7/17/19,40.70925905,-73.87005554,405,30,63700,4462612,4038100350,QN19,1
3952,B FLAT,wealthier,10013,Japanese,3/19/19,09C,N,1,3/19/19,40.71861812,-74.00502159999999,101,1,3300,1001927,1001750015,MN24,1
3953,UNCLE CHARLIE,wealthier,10017,American,8/21/19,06D,Y,1,8/21/19,40.7531774,-73.97418954,106,4,9200,1036191,1013000025,MN19,1
3954,STARBUCKS,less wealthy,11201,Café/Coffee/Tea,7/15/19,10F,N,1,7/15/19,40.69402437,-73.98720543,302,33,1100,3000265,3001420001,BK38,1
3955,STARBUCKS,wealthier,10017,Café/Coffee/Tea,7/18/19,10F,N,1,7/18/19,40.75707538,-73.97614441,105,4,9400,1035443,1012840052,MN17,1
3956,ROASTING PLANT,wealthier,10002,Café/Coffee/Tea,10/11/19,10H,N,1,10/11/19,40.71774774,-73.99043311,103,1,1800,1005448,1004130045,MN27,1
3957,THE GREY DOG'S COFFEE,wealthier,10003,American,2/20/19,09C,N,1,2/20/19,40.73365385,-73.99302879,102,2,6100,1009282,1005690022,MN23,1
3958,ROLLERJAM USA,wealthier,10309,American,6/15/19,06D,Y,1,6/15/19,40.52109225,-74.23655983,503,51,24800,5107860,5079710250,SI11,1
3959,INSIDE PARK AT ST. BART'S,wealthier,10022,American,8/7/19,06D,Y,1,8/7/19,40.75686339,-73.97322075,105,4,10000,1036450,1013050001,MN19,1
3960,"D'ANGELO'S PIZZA, PANCHO'S MEXICAN RESTAURANT",less wealthy,10472,Mexican,11/4/19,10F,N,1,11/4/19,40.83048777,-73.85700418,209,18,7800,2026191,2038020001,BX59,1
3961,GEORGES FAMILY RESTAURANT,less wealthy,10461,American,4/10/19,02G,Y,1,4/10/19,40.8470406,-73.83213706,210,13,26602,2046121,2041700028,BX10,1
3962,TOMI JAZZ,wealthier,10022,Japanese,5/29/19,04L,Y,1,5/29/19,40.75730682,-73.96844511,106,4,9800,1038556,1013270017,MN19,1
3963,YUNG SUN SEAFOOD RESTAURANT,wealthier,10002,Chinese,12/4/19,10F,N,1,12/4/19,40.71357053,-73.99587697,103,1,800,1003420,1002800037,MN27,1
